Twiter Handle|Link to Tweet|Short Description of Account/Tweet/Comments|Verfied?|"""News""?"|Hashtags
@drapr007|https://twitter.com/drapr007/status/1318624523999080449||No|No|#Karachi_Referendum2020
|https://twitter.com/drapr007/status/1318642162200842240||||#Karachi
|https://twitter.com/drapr007/status/1318625679160668160||||#FATFBlacklistPakistan
@neeraj_rajput|https://twitter.com/neeraj_rajput/status/1318786089914494977||No|No|#EndGamePakistan
@ippatel|https://twitter.com/ippatel/status/1318617864862158853||Yes|No|#StateAboveStateRejected
|https://twitter.com/ippatel/status/1318636220377956357||||#ImranUnderSeige
|https://twitter.com/ippatel/status/1318761372054945792||||#Sindhudesh
|https://twitter.com/ippatel/status/1318638331895439368||||#PakistanExposed
@IFENetwork24|https://twitter.com/IFENetwork24/status/1318625400470208512|Claims to be news|No|Yes|
|https://twitter.com/IFENetwork24/status/1318632699259596800||||
|https://twitter.com/IFENetwork24/status/1318639711020183553?s=20||||
@TimesNow|https://twitter.com/TimesNow/status/1318761205012389889|Big news channel using footage from other protests to mislead|Yes|Yes|
@ZeeNewsEnglish|https://twitter.com/ZeeNewsEnglish/status/1318777940218310657|Tweeting articles implying there is civil war in Pakistan|Yes|Yes|
|https://twitter.com/ZeeNewsEnglish/status/1318805675292741632|Blast was due to gas leakage and not blast|||
@RadioChinar|https://twitter.com/RadioChinar/status/1318607458600824832|Using misleading video, implying there is looming martial law|No|Yes|
@Kaala_Nag|https://twitter.com/Kaala_Nag/status/1318653391732674561||No|No|
@TharkiLanister|https://twitter.com/TharkiLanister/status/1318618380757204992||No|No|
@TheIntlHerald|https://twitter.com/TheIntlHerald/status/1318640859756318722|Claims to be news|No|Yes|
|https://twitter.com/TheIntlHerald/status/1318635843075137536||||
|https://twitter.com/TheIntlHerald/status/1318621341730308097||||
@Dilsedesh|https://twitter.com/Dilsedesh/status/1318755065193058306||No|No|
@majorgauravarya|https://twitter.com/majorgauravarya/status/1318879300741820417||No|No|
@madversity|https://twitter.com/madversity/status/1318737445744046081||No|No|
@SindhPoliceDm|https://twitter.com/SindhPoliceDm; https://twitter.com/SindhPoliceDm/status/1318626097601290242|Fake account of Sindh police, suspended now|No|No|
@NewsMobileIndia|https://twitter.com/NewsMobileIndia/status/1318807710805024768||Yes|Yes|
@Ruthlessindia|https://twitter.com/Ruthlessindia/status/1318804198973075456||No|No|
@7ru7h_1|https://twitter.com/7ru7h_1/status/1318610355275276290|"Tweeting video of ""riots"""|No|No|
@TrulyMonica|https://twitter.com/TrulyMonica/status/1318759351838937095|"Calling on news outlet to cover ""civil war"" in Pakistan"|Yes|No|
@Ani_Chakravarty|https://twitter.com/Ani_Chakravarty/status/1318645873119617025|Photoshopped picture of indian flag in rally in Pakistan|No|No|
@arunpudur|https://twitter.com/arunpudur/status/1318772826812248065|"Calling on news outlet to cover ""civil war"" in Pakistan"|Yes|No|
@lokshaktidaily|https://twitter.com/lokshaktidaily/status/1318886410062016512||No|No|
@ishika_bharad|https://twitter.com/ishika_bharad/status/1318767718397599750||No|No|
@palki_aggarwal|https://twitter.com/palki_aggarwal/status/1318874026421284864||No|No|
@FrontalAssault1|https://twitter.com/FrontalAssault1; https://twitter.com/FrontalAssault1/status/1318842133407797250||No|No|
|https://twitter.com/FrontalAssault1/status/1318847327872966657||||
@sri9011|https://twitter.com/sri9011/status/1318747779120861184|Indian flag tweet|No|No|
@yati_sharma18|https://twitter.com/yati_sharma18/status/1318766823991517184|Indian flag tweet|No|No|
@Zoya_nafidi|https://twitter.com/Zoya_nafidi/status/1318422115725438976|Indian flag tweet|No|No|
@MeghUpdates|https://twitter.com/MeghUpdates/status/1318575437392486407||No|No|
|https://twitter.com/MeghUpdates/status/1318807061828792322||||
|https://twitter.com/MeghUpdates/status/1318615323445059584||||
@republic|https://twitter.com/republic/status/1318963256547962880||Yes|Yes|
|https://twitter.com/republic/status/1318962649690828803||||
@kktotlani|https://twitter.com/kktotlani/status/1318961306842484736||No|No|
@iArmySupporter|https://twitter.com/iArmySupporter/status/1318639658289434624?s=20||No|No|
|https://twitter.com/iArmySupporter/status/1318628000510795778?s=20||||
@AshishSinghNews|https://twitter.com/AshishSinghNews/status/1318606226322644992?s=20||Yes|No|
@IndiaToday|https://twitter.com/IndiaToday/status/1318908531228078083?s=20||Yes|Yes|
@OpIndia_com|https://twitter.com/OpIndia_com/status/1318952688533397505?s=20||Yes|Yes|
@CNNnews18|https://twitter.com/CNNnews18/status/1318945146407444481|video detailing 'civil war in pak'|Yes|Yes|
|https://twitter.com/CNNnews18/status/1318942805025173504||||
|https://twitter.com/CNNnews18/status/1318923747684884481||||
|https://twitter.com/CNNnews18/status/1318893081496711170||||
|https://twitter.com/CNNnews18/status/1318745714592284673?s=20||||
@ejopinion|https://twitter.com/ejopinion/status/1318978424413761536?s=20|Seems to be parody|No|No|
@ZainIndian1971|https://twitter.com/ZainIndian1971/status/1318770328353452034?s=20|indian flag tweet|No|No|
@iShivam_Dubey|https://twitter.com/iShivamDubey/status/1318742085332185088?s=20|indian flag tweet|No|No|
@Kaala_Nag|https://twitter.com/Kaala_Nag/status/1318977268220416002|video of protest against police|No|No|
@Defence_360|https://twitter.com/Defence_360/status/1318673682114383872?s=20||No|No|
@I_am_Akshayy|https://twitter.com/I_am_Akshayy/status/1318628586400534529?s=20|picture claiming to highlight military takeover|No|No|
@ISCResearch|https://twitter.com/ISCResearch/status/1318616105557131268?s=20||No|Research|
@MajAshwinYadav|https://twitter.com/MajAshwinYadav/status/1318624772045955073?s=20|picture with tanks in the street|No|No|
@SinhaaVinisha|https://twitter.com/SinhaaVinisha/status/1318767309641682944?s=20|indian flag tweet|No|No|
@VishalBNtiwari|https://twitter.com/VishalBNtiwari/status/1318786814652477440?s=20|warzone pictures|No|No|
@gabbarmix|https://twitter.com/gabbarmix/status/1318780789350301697?s=20||No|No|
@Xia257|https://twitter.com/Xia257/status/1318617435499450368?s=20||No|No|
@dovalraw|https://twitter.com/dovalraw/status/1318614261996818435?s=20||No|No|
@hum_bolega|https://twitter.com/hum_bolega/status/1318639165853093888?s=20||No|No|
@DextrousNinja|https://twitter.com/DextrousNinja/status/1318612508983193601?s=20||No|No|
|https://twitter.com/DextrousNinja/status/1318629982248136704?s=20||||
@ignisfatuus1110|https://twitter.com/ignisfatuus1110/status/1318618422708588544?s=20||No|No|
@ashishrswain86|https://twitter.com/ashishrswain86/status/1318625830772207616?s=20||No|No|
@GanatantraTimes|https://twitter.com/GanatantraTimes/status/1318623382196244480?s=20||No|No|
@ashishseven|https://twitter.com/ashishseven/status/1318650649479843840?s=20||No|No|
@kboxstats|https://twitter.com/kboxstats/status/1318642301841809408?s=20||No|No|
@SinghPramod2784|https://twitter.com/SinghPramod2784/status/1318642101781897216?s=20||No|No|
@alam_mujaid|https://twitter.com/alam_mujaid/status/1318642060258201600?s=20||No|No|
@indiatvnews|https://twitter.com/indiatvnews/status/1318943879173996544||Yes|Yes|
@exposedpakistan|https://twitter.com/ExposedPakistan/status/1316599586329247744||No|No|
|https://twitter.com/ExposedPakistan/status/1316275371361271809||||
@manishmedia|https://twitter.com/manishmedia/status/1311512652653371392|this tweet has been copied and tweeted by multiple accounts|No|No|
@AdityaRajKaul|https://twitter.com/AdityaRajKaul/status/1309779612751159296||Yes|No|
@Jvlmk|https://twitter.com/Jvlmk/status/1319006231617400832||No|No|
|https://twitter.com/Jvlmk/status/1319000408853864448||||
@IhsanTipu|https://twitter.com/IhsanTipu/status/1318994560983437315|apparently NYT correspondent|No|No|
